,ru-ru,en,,,,,NOTES – use \n for newline,max length
menuoptions_heading_streaming_integration_config,КОНФИГУРАЦИЯ,CONFIG,,,,,,
menuoptions_heading_streaming_integration_mods,МОДЫ,MODDING,,,,,,
menuoptions_heading_streaming_enabled_events,ПОДКЛЮЧЁННЫЕ СОБЫТИЯ,ENABLED EVENTS,,,,,,
menuoptions_format_seconds,$0 с,$0 s,,,,,,
menuoptions_format_megabytes,$0 МБ,$0 MB,,,,,,
menuoptions_heading_online,В СЕТИ,ONLINE,,,,,,
menuoptions_heading_userinterface_mouse,МЫШЬ,MOUSE,,,,,,
menuoptions_heading_controls,КЛАВИАТУРА/МЫШЬ,KEYBOARD/MOUSE,,,,,,
menuoptions_display_number,Номер дисплея: $0,Display number: $0,,,,,,
menuoptions_online_features,Сетевые функции: $0,Online features: $0,,,,,,
menuoptions_online_features_hint,Отключено для предотвращения подключения игры к серверам Nolla Games.\nЭто может препятствовать работе некоторых функций.,Turn off to prevent the game from connecting to Nolla Games' servers.\nThis may prevent some features from working.,,,,,,
menuoptions_capturemouseinsidewindow,Заблокировать курсор в окне: $0,Lock mouse inside the window: $0,,,,,,
menuoptions_pause_the_game_when_unfocused,"Ставить игру на паузу, когда выбрано другое окно: $0",Pause the game when unfocused: $0,,,,,,
menuoptions_ui_snappy_hover_boxes,Без анимации всплывающих окон: $0,No hover box animations: $0,,,,,,
menuoptions_dithering,Сглаживание полос: $0,Anti color banding (dithering): $0,,,,,,
menuoptions_configuregamepad,Настроить управление геймпадом,Configure gamepad controls,,,,,,
menuoptions_gamepad_analog_flying,Аналоговый полёт с помощью геймпада,Gamepad analog flying,,,,,,
menuoptions_ui_allow_shooting_while_inventory_open,Разрешить стрелять жезлом при открытом инвентаре: $0,Allow firing of wands while inventory is open: $0,,,,,,
menuoptions_gamepad_throwsprayscheme,Новая схема броска/распыления для геймпада: $0,New gamepad throw/spray scheme: $0,,,,,,
menuoldsavegame_text,Обнаружена сохранённая игра со старой версии.\nПродолжить её? (Вы можете столкнуться со странностями.),A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.),,,,,,
menuoldsavegame_text_update9,После загрузки в мире могут возникнуть пустые фрагменты.\nВнемлите моему предупреждению — это может разозлить богов!\nЖелаете продолжить?,Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?,,,,,,
menu_secretmode,Секретный режим,Secret Mode,,,,,,
menu_selectworld,Выбрать мир,Select world,,,,,,
menu_playtime,$0 ч $1 мин.,$0h $1 min,,,,,,
menu_startnewworld,Начать игру в новом мире,Start new world,,,,,,
menu_worldselect_deleteareyousure,Вы действительно хотите удалить мир в ячейке $0?\nЭто действие нельзя отменить.,Are you sure you want to delete the world in slot $0?\nThis cannot be undone.,,,,,,
menu_worldselect_deleteareyousure_playing,"Вы действительно хотите удалить мир, в котором сейчас играете?\nЭто действие нельзя отменить.",Are you sure you want to delete the world you're currently playing?\nThis cannot be undone.,,,,,,
menu_worldselect_slot,Мир $0,World $0,,,,,,
menu_worldselect_slot_playing,Мир $0 – ИДЁТ ИГРА,World $0 – PLAYING,,,,,,
menu_switchthrowandspray,"Мы изменили значения по умолчанию для некоторых настроек:\n-Поменяли друг с другом входные привязки для броска и распыления.\n-Чтобы накладывать заклинания, нужно закрыть инвентарь.\nХотите подключить новые настройки по умолчанию? Их можно изменить в меню «Параметры».",We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.,,,,,,
menu_newgame_modschangedrestart,Игра перезапустится из-за изменения мода.,The game will restart due to mod changes.,,,,,,
menu_progress_new,Прогресс ($0 нов.),Progress ($0 new),,,,,,
menu_streamermode,Режим трансляции: $0,Streamer mode: $0,,,,,,
menu_streaming_description,Разрешите зрителям трансляции взаимодействовать с вашей\nигрой через чат Twitch.,Let stream viewers interact with your game through the Twitch chat.,,,,,,
menu_streaming_description_details,"Сообщения 1, 2, 3, 4 в чате будут считаться голосами\n за различные события, выбранные из случайной базы.","Chat messages “1”, “2”, “3” and “4” will be counted as votes towards\nvarious events that are selected from a random pool.",,,,,,
menu_streaming_connect,Подключиться,Connect,,,,,,
menu_streaming_disconnect,Отключиться,Disconnect,,,,,,
menu_streaming_connect_twitch,Подключить учётную запись Twitch,Connect to Twitch account,,,,,,
menu_streaming_status_connecting, — УСТАНАВЛИВАЕТСЯ СОЕДИНЕНИЕ..., - CONNECTING...,,,,,,
menu_streaming_status_connected, — СОЕДИНЕНИЕ УСТАНОВЛЕНО, - CONNECTED,,,,,,
menu_streaming_status_failed_unknown, — НЕ УДАЛОСЬ УСТАНОВИТЬ СОЕДИНЕНИЕ, - CONNECTION FAILED,,,,,,
menu_streaming_status_failed_serverconnection, — НЕ УДАЛОСЬ НАЙТИ СЕРВЕР, - COULDN'T FIND SERVER,,,,,,
menu_streaming_status_failed_timeout, — ИСТЕКЛО ВРЕМЯ ОЖИДАНИЯ — НЕТ ТАКОГО КАНАЛА?, - TIMEOUT - NO SUCH CHANNEL?,,,,,,
menu_streaming_connected,Подключена учётная запись Twitch: $0,Connected to Twitch account: $0,,,,,,
menu_streaming_connect_failed,Проверка подлинности Twitch не удалась,Twitch authentication failed,,,,,,
menu_streaming_option,Интеграция трансляции: $0,Streaming integration: $0,,,,,,
menu_streaming_channelname,Название канала:,Channel name:,,,,,,
menu_streaming_voting,Голоса в чате: $0,Chat votes: $0,,,,,,
menu_streaming_voting_hint,Разрешить зрителям голосовать за события в игре.,Allow stream viewers to vote on events that take place in the game.,,,,,,
menu_streaming_allowusernames,Отображать имена пользователей,Display user names,,,,,,
menu_streaming_allowusernames_hint,"Разрешить события, в которых отображаются имена пользователей чата",Allow events that display chat user names,,,,,,
